STN(),TIME(DD/HHMM),ALTM(hPa),TMP(C),DEW(C),RH(%),DIR(deg),SPD(m/s),VIS(km),CLOUDS(),Weather()
VVTS,26/0500,1013.0,31,16,40,290,2,10.0,,
VVTS,26/0430,1014.0,31,17,43,360,3,10.0,,
VVTS,26/0400,1014.0,30,17,46,10,2,10.0,,
VVTS,26/0330,1014.0,30,16,43,350,3,8.0,,
VVTS,26/0300,1015.0,29,18,51,330,3,8.0,,
VVTS,26/0230,1015.0,28,18,55,350,3,8.0,,
VVTS,26/0200,1015.0,25,19,69,350,3,7.0,,
VVTS,26/0130,1015.0,24,19,74,10,2,6.0,,
VVTS,26/0100,1015.0,23,20,83,,2,6.0,,
VVTS,26/0030,1014.0,22,20,88,360,2,6.0,,
VVTS,26/0000,1014.0,22,21,94,10,2,6.0,,
VVTS,25/2330,1013.0,22,21,94,20,2,5.0,,FG
VVTS,25/2300,1013.0,22,22,100,30,2,5.0,FEW020,FG
VVTS,25/2230,1013.0,22,22,100,10,2,6.0,FEW020,
VVTS,25/2200,1013.0,23,22,94,,2,8.0,FEW020,
VVTS,25/2130,1012.0,23,22,94,30,2,8.0,FEW020,
VVTS,25/2100,1012.0,23,21,89,,1,8.0,FEW020,
VVTS,25/2030,1012.0,23,21,89,,1,8.0,FEW020,
VVTS,25/2000,1012.0,24,21,83,,1,8.0,FEW020,
VVTS,25/1930,1013.0,24,21,83,140,2,8.0,FEW020,
VVTS,25/1900,1013.0,24,21,83,90,1,8.0,FEW020,
VVTS,25/1830,1013.0,24,21,83,,1,8.0,FEW020,
VVTS,25/1800,1014.0,24,21,83,,1,8.0,FEW020,
VVTS,25/1730,1014.0,24,21,83,,1,10.0,FEW020,
VVTS,25/1700,1014.0,24,21,83,130,2,10.0,FEW020,
VVTS,25/1630,1014.0,25,21,78,140,3,10.0,FEW020,
VVTS,25/1600,1014.0,25,21,78,130,4,10.0,FEW020,
VVTS,25/1530,1014.0,26,21,74,140,4,10.0,FEW020,
VVTS,25/1500,1014.0,26,21,74,130,4,10.0,FEW020,
VVTS,25/1430,1014.0,27,16,51,,1,10.0,FEW020,
VVTS,25/1400,1014.0,27,15,48,180,2,10.0,FEW020,
VVTS,25/1330,1013.0,27,15,48,260,1,10.0,FEW020,
VVTS,25/1300,1013.0,26,16,54,,1,8.0,FEW020,
VVTS,25/1230,1013.0,28,15,45,310,2,8.0,FEW020,
VVTS,25/1200,1013.0,28,14,42,,1,10.0,FEW020,
VVTS,25/1130,1012.0,27,16,51,,1,8.0,FEW020,
VVTS,25/1100,1012.0,29,15,43,280,3,8.0,FEW020,
VVTS,25/1030,1012.0,31,13,33,,2,10.0,,
VVTS,25/1000,1011.0,31,12,31,,2,10.0,,
VVTS,25/0930,1011.0,32,12,29,340,3,10.0,,
VVTS,25/0900,1011.0,32,12,29,320,3,10.0,,
VVTS,25/0830,1011.0,32,13,31,340,2,10.0,FEW020,
VVTS,25/0800,1011.0,33,13,30,350,3,10.0,FEW020,
VVTS,25/0730,1011.0,32,12,29,300,3,10.0,FEW020,
VVTS,25/0700,1012.0,32,13,31,330,3,10.0,FEW020,
VVTS,25/0630,1012.0,32,13,31,10,3,3.1,FEW020,
VVTS,25/0600,1013.0,32,14,34,360,3,10.0,FEW020,
VVTS,25/0530,1014.0,31,14,36,20,2,10.0,FEW020,+RA
VVTS,25/0500,1014.0,31,15,38,,2,10.0,FEW020,
VVTS,25/0430,1015.0,30,16,43,20,3,10.0,FEW020,
