STN(),TIME(DD/HHMM),ALTM(hPa),TMP(C),DEW(C),RH(%),DIR(deg),SPD(m/s),VIS(km),CLOUDS()
VVTS,17/0500,1013.0,32,20,49,,3,10.0,BKN017
VVTS,17/0430,1013.0,32,20,49,100,3,10.0,BKN017
VVTS,17/0400,1014.0,32,21,52,,3,10.0,BKN017
VVTS,17/0330,1014.0,32,21,52,110,4,10.0,BKN017
VVTS,17/0300,1015.0,30,22,62,140,4,10.0,BKN017
VVTS,17/0230,1015.0,31,22,59,120,4,10.0,BKN017
VVTS,17/0200,1015.0,29,22,66,110,4,10.0,SCT017
VVTS,17/0130,1014.0,29,22,66,130,4,10.0,FEW017
VVTS,17/0100,1014.0,28,23,74,120,3,10.0,FEW017
VVTS,17/0030,1014.0,27,23,79,130,4,10.0,FEW017
VVTS,17/0000,1013.0,26,24,89,140,3,10.0,FEW017
VVTS,16/2330,1013.0,26,24,89,130,3,10.0,
VVTS,16/2300,1012.0,26,24,89,130,3,10.0,FEW020
VVTS,16/2230,1012.0,25,24,94,150,3,10.0,FEW020
VVTS,16/2200,1012.0,25,24,94,160,2,10.0,FEW020
VVTS,16/2130,1012.0,25,23,89,160,2,10.0,FEW020
VVTS,16/2100,1012.0,26,23,84,170,2,10.0,FEW020
VVTS,16/2030,1011.0,26,23,84,160,2,10.0,FEW017
VVTS,16/2000,1011.0,26,23,84,150,2,10.0,FEW017
VVTS,16/1930,1011.0,26,23,84,150,3,10.0,FEW017
VVTS,16/1900,1012.0,26,23,84,140,4,10.0,FEW017
VVTS,16/1830,1012.0,26,23,84,140,4,10.0,FEW017
VVTS,16/1800,1012.0,26,23,84,140,5,10.0,FEW017
VVTS,16/1730,1012.0,26,23,84,140,5,10.0,FEW017
VVTS,16/1700,1012.0,26,23,84,140,4,10.0,FEW017
VVTS,16/1630,1012.0,26,23,84,130,4,10.0,FEW017
VVTS,16/1600,1012.0,27,23,79,140,4,10.0,FEW017
VVTS,16/1530,1013.0,27,23,79,150,4,10.0,FEW017
VVTS,16/1500,1013.0,27,22,74,140,3,10.0,FEW017
VVTS,16/1430,1012.0,27,23,79,140,4,10.0,FEW017
VVTS,16/1400,1012.0,27,22,74,140,4,10.0,FEW017
VVTS,16/1330,1012.0,27,22,74,130,5,10.0,FEW017
VVTS,16/1300,1012.0,28,23,74,150,3,10.0,FEW017
VVTS,16/1230,1012.0,28,23,74,160,5,10.0,FEW017
VVTS,16/1200,1011.0,28,22,70,170,5,10.0,FEW020
VVTS,16/1130,1011.0,29,21,62,160,5,10.0,FEW020
VVTS,16/1100,1011.0,29,21,62,160,5,10.0,FEW020
VVTS,16/1030,1010.0,30,20,55,170,6,10.0,FEW020
VVTS,16/1000,1010.0,31,20,52,160,5,10.0,FEW020
VVTS,16/0930,1010.0,32,21,52,170,4,10.0,FEW020
VVTS,16/0900,1010.0,32,21,52,150,5,10.0,SCT020
VVTS,16/0830,1010.0,33,20,46,160,5,10.0,SCT020
VVTS,16/0800,1010.0,34,20,44,190,5,10.0,SCT020
VVTS,16/0730,1010.0,34,19,41,190,6,10.0,SCT020
VVTS,16/0700,1011.0,35,17,34,,4,10.0,SCT020
VVTS,16/0630,1011.0,35,14,28,,3,10.0,SCT020
VVTS,16/0600,1012.0,34,15,32,,3,10.0,SCT020
VVTS,16/0530,1012.0,35,16,32,140,4,10.0,SCT020
VVTS,16/0500,1013.0,34,16,34,140,4,10.0,SCT020
VVTS,16/0430,1014.0,34,16,34,80,4,10.0,FEW020
