STN(),TIME(DD/HHMM),ALTM(hPa),TMP(C),DEW(C),RH(%),DIR(deg),SPD(m/s),GUS(m/s),VIS(km),CLOUDS(),NA_0(),NA_1()
VVTS,01/0500,1008.0,33,23,56,200,4,,10.0,BKN017,,
VVTS,01/0430,1008.0,32,23,59,190,4,,10.0,BKN017,,
VVTS,01/0400,1009.0,32,23,59,130,2,,10.0,BKN017,,
VVTS,01/0330,1009.0,31,23,62,120,3,,10.0,BKN017,,
VVTS,01/0300,1010.0,30,23,66,140,2,,10.0,BKN017,,
VVTS,01/0230,1010.0,30,24,70,,2,,10.0,BKN017,,
VVTS,01/0200,1010.0,30,25,75,110,3,,10.0,SCT017,,
VVTS,01/0130,1009.0,30,25,75,90,3,,10.0,SCT017,,
VVTS,01/0100,1009.0,29,25,79,,2,,10.0,FEW017,,
VVTS,01/0030,1009.0,28,25,84,80,3,,10.0,FEW017,,
VVTS,01/0000,1009.0,27,25,89,60,3,,10.0,FEW017,,
VVTS,31/2330,1009.0,26,24,89,70,2,,8.0,FEW017,,
VVTS,31/2300,1009.0,25,24,94,,2,,8.0,FEW017,,
VVTS,31/2230,1008.0,25,24,94,60,2,,8.0,FEW015,SCT050,
VVTS,31/2200,1008.0,25,24,94,60,1,,8.0,FEW015,SCT050,
VVTS,31/2130,1008.0,25,24,94,,1,,8.0,FEW015,SCT050,
VVTS,31/2100,1008.0,25,24,94,70,2,,8.0,FEW015,SCT050,
VVTS,31/2030,1008.0,25,24,94,,1,,8.0,FEW015,SCT050,
VVTS,31/2000,1008.0,25,24,94,60,2,,8.0,FEW015,SCT050,
VVTS,31/1930,1008.0,25,24,94,70,2,,9.0,FEW017,SCT050,
VVTS,31/1900,1008.0,25,24,94,60,1,,9.0,FEW017,SCT050,
VVTS,31/1830,1008.0,25,24,94,,2,,9.0,FEW017,SCT050,
VVTS,31/1800,1008.0,25,24,94,,1,,8.0,FEW020,SCT050,
VVTS,31/1730,1008.0,25,24,94,,2,,8.0,FEW020,SCT050,
VVTS,31/1700,1009.0,25,24,94,,2,,10.0,FEW017,SCT050,
VVTS,31/1630,1009.0,25,24,94,30,2,,10.0,FEW017,SCT050,
VVTS,31/1600,1009.0,25,24,94,,1,,10.0,FEW017,SCT050,
VVTS,31/1530,1009.0,25,24,94,,1,,10.0,FEW017,SCT050,
VVTS,31/1500,1009.0,25,24,94,,1,,10.0,FEW017,SCT050,
VVTS,31/1430,1009.0,25,24,94,330,2,,10.0,FEW017,SCT050,
VVTS,31/1400,1009.0,26,24,89,310,3,,10.0,FEW017,BKN050,
VVTS,31/1330,1009.0,27,24,84,250,3,,10.0,FEW017,BKN050,
VVTS,31/1300,1009.0,27,24,84,220,2,,10.0,FEW017,BKN050,
VVTS,31/1230,1008.0,27,23,79,220,2,,10.0,FEW017,BKN050,
VVTS,31/1200,1008.0,27,23,79,180,3,,10.0,FEW017,BKN050,
VVTS,31/1130,1007.0,27,23,79,190,3,,8.0,SCT017,BKN050,
VVTS,31/1100,1007.0,27,23,79,190,4,,8.0,SCT015,FEW017,BKN050
VVTS,31/1030,1007.0,27,22,74,230,3,,8.0,SCT015,FEW017,BKN050
VVTS,31/1000,1006.0,27,22,74,250,4,,8.0,SCT015,FEW017,BKN050
VVTS,31/0930,1007.0,27,22,74,260,4,10,8.0,SCT015,FEW017,BKN050
VVTS,31/0900,1006.0,29,23,70,280,3,,10.0,SCT017,BKN050,
VVTS,31/0830,1006.0,29,22,66,300,3,,10.0,SCT017,BKN050,
VVTS,31/0800,1005.0,30,23,66,310,3,,10.0,SCT015,BKN040,
VVTS,31/0730,1006.0,30,22,62,270,3,,10.0,SCT015,BKN040,
VVTS,31/0700,1006.0,30,22,62,300,3,,10.0,SCT015,BKN040,
VVTS,31/0630,1006.0,29,21,62,290,4,,10.0,SCT015,BKN040,
VVTS,31/0600,1006.0,29,22,66,290,4,,10.0,SCT017,BKN050,
VVTS,31/0530,1006.0,29,21,62,280,3,,10.0,SCT017,BKN050,
VVTS,31/0500,1006.0,29,22,66,310,3,,10.0,SCT017,BKN050,
VVTS,31/0430,1007.0,29,22,66,290,4,,10.0,SCT017,BKN050,
