STN(),TIME(DD/HHMM),ALTM(hPa),TMP(C),DEW(C),RH(%),DIR(deg),SPD(m/s),VIS(km),CLOUDS(),NA_0(),Weather()
VVTS,13/0500,1013.0,31,20,52,50,1,8.0,SCT017,,
VVTS,13/0430,1013.0,32,21,52,,1,8.0,SCT017,,
VVTS,13/0400,1013.0,31,21,55,,2,8.0,SCT017,,
VVTS,13/0330,1014.0,30,22,62,,2,9.0,SCT017,,
VVTS,13/0300,1014.0,29,22,66,,1,8.0,FEW017,,
VVTS,13/0230,1014.0,28,22,70,,2,8.0,FEW017,,
VVTS,13/0200,1014.0,28,21,66,,1,8.0,FEW017,,
VVTS,13/0130,1014.0,26,22,79,,1,8.0,FEW017,,
VVTS,13/0100,1014.0,25,21,78,,1,5.0,FEW017,,FG
VVTS,13/0030,1013.0,24,22,89,,1,4.0,FEW017,,FG
VVTS,13/0000,1013.0,24,22,89,,2,4.0,FEW017,,FG
VVTS,12/2330,1012.0,23,22,94,,1,4.0,FEW017,,FG
VVTS,12/2300,1012.0,22,22,100,30,2,6.0,FEW017,,
VVTS,12/2230,1012.0,23,22,94,20,2,7.0,FEW017,,
VVTS,12/2200,1011.0,23,22,94,,2,7.0,FEW017,,
VVTS,12/2130,1011.0,23,23,100,360,2,7.0,FEW017,,
VVTS,12/2100,1011.0,23,22,94,360,2,8.0,FEW017,,
VVTS,12/2030,1011.0,23,22,94,,1,10.0,FEW017,,
VVTS,12/2000,1011.0,23,22,94,,1,10.0,FEW017,,
VVTS,12/1930,1011.0,22,22,100,30,1,10.0,FEW017,,
VVTS,12/1900,1011.0,23,22,94,30,1,10.0,FEW017,,
VVTS,12/1830,1012.0,24,22,89,,1,10.0,FEW017,,
VVTS,12/1800,1012.0,24,22,89,50,1,10.0,FEW017,,
VVTS,12/1730,1012.0,24,22,89,70,2,10.0,FEW017,,
VVTS,12/1700,1013.0,24,22,89,70,2,10.0,FEW017,,
VVTS,12/1630,1013.0,24,22,89,70,2,10.0,FEW017,,
VVTS,12/1600,1013.0,25,22,83,,1,10.0,FEW017,,
VVTS,12/1530,1013.0,25,22,83,120,2,10.0,FEW017,,
VVTS,12/1500,1013.0,25,22,83,130,3,10.0,FEW017,,
VVTS,12/1430,1013.0,25,22,83,120,4,10.0,FEW017,,
VVTS,12/1400,1013.0,26,22,79,140,3,10.0,FEW017,SCT040,
VVTS,12/1330,1013.0,26,22,79,130,3,10.0,FEW017,SCT040,
VVTS,12/1300,1012.0,26,22,79,140,3,10.0,FEW017,SCT040,
VVTS,12/1230,1012.0,26,22,79,180,3,10.0,FEW017,SCT040,
VVTS,12/1200,1012.0,27,22,74,140,3,8.0,FEW017,SCT040,
VVTS,12/1130,1011.0,27,22,74,190,3,8.0,FEW017,SCT040,
VVTS,12/1100,1011.0,27,21,70,170,3,8.0,SCT017,SCT040,
VVTS,12/1030,1011.0,27,21,70,170,3,10.0,SCT017,,
VVTS,12/1000,1010.0,28,21,66,170,3,10.0,SCT017,,
VVTS,12/0930,1010.0,28,21,66,160,4,10.0,SCT017,,
VVTS,12/0900,1010.0,29,21,62,170,5,8.0,BKN017,,
VVTS,12/0830,1010.0,30,20,55,210,4,8.0,BKN017,,
VVTS,12/0800,1010.0,30,20,55,240,3,7.0,BKN017,,
VVTS,12/0730,1010.0,30,20,55,280,2,6.0,BKN017,,
VVTS,12/0700,1010.0,30,21,59,,2,6.0,BKN017,,
VVTS,12/0630,1010.0,31,19,49,,2,8.0,BKN017,,
VVTS,12/0530,1011.0,30,20,55,,2,8.0,SCT017,,
VVTS,12/0500,1012.0,30,20,55,,2,8.0,SCT017,,
VVTS,12/0430,1012.0,29,21,62,,2,6.0,SCT017,,
