STN(),TIME(DD/HHMM),ALTM(hPa),TMP(C),DEW(C),RH(%),DIR(deg),SPD(m/s),GUS(m/s),VIS(km),CLOUDS()
VVTS,13/0500,1011.0,34,20,44,110,3,,10.0,FEW020
VVTS,13/0430,1012.0,33,20,46,,3,,10.0,FEW020
VVTS,13/0400,1013.0,33,21,49,,3,,10.0,FEW020
VVTS,13/0330,1014.0,32,21,52,140,4,,10.0,FEW020
VVTS,13/0300,1014.0,32,20,49,120,4,,10.0,FEW020
VVTS,13/0230,1014.0,31,21,55,100,5,,10.0,FEW020
VVTS,13/0200,1014.0,30,21,59,110,5,,10.0,FEW020
VVTS,13/0130,1014.0,29,22,66,90,4,,10.0,FEW020
VVTS,13/0100,1014.0,29,23,70,100,5,,10.0,FEW020
VVTS,13/0030,1014.0,27,23,79,100,4,,10.0,FEW020
VVTS,13/0000,1014.0,26,23,84,130,4,,10.0,FEW020
VVTS,12/2330,1013.0,26,23,84,130,5,,10.0,FEW020
VVTS,12/2300,1013.0,26,23,84,130,3,,10.0,FEW020
VVTS,12/2230,1012.0,25,23,89,130,3,,10.0,FEW020
VVTS,12/2200,1012.0,26,23,84,130,3,,10.0,FEW017
VVTS,12/2130,1012.0,26,23,84,140,4,,10.0,FEW017
VVTS,12/2100,1011.0,26,23,84,130,5,,10.0,FEW017
VVTS,12/2030,1011.0,26,23,84,130,6,,10.0,FEW017
VVTS,12/2000,1011.0,26,23,84,140,5,,10.0,FEW017
VVTS,12/1930,1012.0,26,23,84,140,5,,10.0,FEW020
VVTS,12/1900,1012.0,26,23,84,140,5,,10.0,FEW020
VVTS,12/1830,1012.0,26,23,84,140,5,,10.0,FEW020
VVTS,12/1800,1013.0,26,23,84,130,5,,10.0,FEW020
VVTS,12/1730,1013.0,26,23,84,140,4,,10.0,FEW020
VVTS,12/1700,1013.0,26,23,84,140,4,,10.0,FEW017
VVTS,12/1630,1013.0,26,22,79,140,6,,10.0,FEW017
VVTS,12/1600,1013.0,26,22,79,130,7,,10.0,FEW017
VVTS,12/1530,1013.0,27,22,74,130,7,,10.0,FEW017
VVTS,12/1500,1013.0,27,22,74,130,6,,10.0,FEW020
VVTS,12/1430,1013.0,27,22,74,140,6,,10.0,FEW020
VVTS,12/1400,1013.0,27,21,70,140,5,,10.0,FEW020
VVTS,12/1330,1012.0,27,21,70,140,5,,10.0,FEW020
VVTS,12/1300,1012.0,28,20,62,140,4,,10.0,FEW020
VVTS,12/1230,1011.0,28,20,62,140,6,,10.0,FEW020
VVTS,12/1200,1011.0,29,20,58,140,5,,10.0,FEW020
VVTS,12/1130,1011.0,30,20,55,150,5,,10.0,FEW020
VVTS,12/1100,1010.0,30,20,55,150,5,,10.0,FEW020
VVTS,12/1030,1010.0,31,20,52,150,5,,10.0,FEW020
VVTS,12/1000,1010.0,32,20,49,150,5,,10.0,FEW020
VVTS,12/0930,1010.0,33,20,46,160,5,,10.0,SCT020
VVTS,12/0900,1010.0,34,20,44,140,5,,10.0,SCT020
VVTS,12/0830,1010.0,34,20,44,,4,,10.0,SCT020
VVTS,12/0800,1010.0,34,19,41,140,4,,10.0,BKN020
VVTS,12/0730,1011.0,34,18,39,120,4,,10.0,BKN020
VVTS,12/0700,1011.0,34,18,39,110,3,,10.0,BKN020
VVTS,12/0630,1012.0,35,18,37,120,4,,10.0,BKN020
VVTS,12/0600,1012.0,35,18,37,140,4,10,10.0,BKN020
VVTS,12/0530,1013.0,35,19,39,100,4,,10.0,BKN020
VVTS,12/0500,1013.0,34,19,41,90,6,,10.0,SCT020
VVTS,12/0430,1014.0,34,19,41,100,6,,10.0,FEW020
