STN(),TIME(DD/HHMM),ALTM(hPa),TMP(C),DEW(C),RH(%),DIR(deg),SPD(m/s),VIS(km),CLOUDS(),NA_0(),NA_1()
VVTS,07/0500,1010.0,32,23,59,,1,10.0,SCT017,FEW020,
VVTS,07/0430,1011.0,30,24,70,90,3,10.0,BKN017,,
VVTS,07/0400,1011.0,30,24,70,90,3,10.0,BKN017,,
VVTS,07/0330,1011.0,31,23,62,90,3,10.0,BKN017,,
VVTS,07/0300,1012.0,31,23,62,90,3,10.0,SCT017,,
VVTS,07/0230,1012.0,31,22,59,100,3,10.0,SCT017,,
VVTS,07/0200,1012.0,31,23,62,110,2,10.0,FEW017,,
VVTS,07/0130,1012.0,30,23,66,,2,10.0,FEW017,,
VVTS,07/0100,1012.0,29,22,66,,2,10.0,FEW017,,
VVTS,07/0030,1012.0,28,23,74,,1,8.0,FEW017,,
VVTS,07/0000,1012.0,27,24,84,90,2,8.0,FEW017,,
VVTS,06/2330,1011.0,26,24,89,90,2,8.0,FEW017,,
VVTS,06/2300,1011.0,25,24,94,,2,8.0,FEW017,,
VVTS,06/2230,1011.0,25,24,94,80,2,8.0,FEW015,BKN050,
VVTS,06/2200,1010.0,25,24,94,70,1,8.0,FEW015,SCT050,
VVTS,06/2130,1010.0,25,24,94,80,1,8.0,FEW015,SCT050,
VVTS,06/2100,1010.0,25,24,94,,1,8.0,FEW015,SCT050,
VVTS,06/2030,1010.0,25,24,94,70,1,8.0,FEW015,SCT050,
VVTS,06/2000,1010.0,25,24,94,20,1,10.0,FEW015,SCT050,
VVTS,06/1930,1010.0,25,24,94,,1,10.0,FEW015,SCT050,
VVTS,06/1900,1011.0,25,24,94,,1,10.0,FEW015,SCT050,
VVTS,06/1830,1011.0,25,24,94,,1,10.0,FEW015,SCT050,
VVTS,06/1800,1011.0,25,24,94,,2,10.0,FEW015,SCT050,
VVTS,06/1730,1011.0,25,24,94,70,3,10.0,FEW015,SCT050,
VVTS,06/1700,1011.0,25,24,94,50,3,10.0,SCT015,SCT050,
VVTS,06/1630,1011.0,26,23,84,,2,10.0,SCT015,SCT050,
VVTS,06/1600,1011.0,26,23,84,360,3,10.0,SCT015,SCT050,
VVTS,06/1530,1011.0,26,23,84,30,3,10.0,SCT015,SCT050,
VVTS,06/1500,1012.0,26,23,84,,2,10.0,SCT015,SCT050,
VVTS,06/1430,1012.0,26,24,89,10,3,10.0,SCT015,SCT050,
VVTS,06/1400,1011.0,26,23,84,10,2,10.0,SCT015,SCT050,
VVTS,06/1330,1011.0,26,24,89,350,3,10.0,SCT015,SCT050,
VVTS,06/1300,1011.0,26,24,89,30,3,10.0,SCT015,FEW017,SCT050
VVTS,06/1230,1010.0,26,24,89,40,3,10.0,SCT015,FEW017,SCT050
VVTS,06/1200,1010.0,27,24,84,50,4,10.0,SCT015,FEW017,SCT050
VVTS,06/1130,1009.0,27,24,84,40,4,10.0,SCT017,SCT050,
VVTS,06/1100,1009.0,28,24,79,40,3,10.0,SCT017,SCT050,
VVTS,06/1030,1008.0,29,24,74,310,1,10.0,SCT017,SCT050,
VVTS,06/1000,1008.0,29,23,70,,1,10.0,SCT017,BKN050,
VVTS,06/0930,1008.0,30,23,66,,2,10.0,SCT017,BKN050,
VVTS,06/0900,1008.0,30,23,66,,2,10.0,FEW015,FEW017,BKN050
VVTS,06/0830,1008.0,30,24,70,280,2,10.0,FEW015,FEW017,BKN050
VVTS,06/0800,1008.0,30,23,66,290,2,10.0,FEW017,SCT050,OVC100
VVTS,06/0730,1008.0,30,23,66,300,2,10.0,FEW017,SCT050,OVC100
VVTS,06/0700,1008.0,30,23,66,300,2,10.0,FEW017,SCT050,OVC100
VVTS,06/0630,1009.0,30,24,70,,2,10.0,FEW017,BKN050,
VVTS,06/0600,1009.0,30,23,66,,2,10.0,FEW017,BKN050,
VVTS,06/0530,1010.0,30,23,66,,1,10.0,FEW020,BKN050,
VVTS,06/0500,1010.0,30,23,66,,1,10.0,FEW020,BKN050,
VVTS,06/0430,1011.0,30,24,70,300,2,10.0,FEW017,BKN050,
