STN(),TIME(DD/HHMM),ALTM(hPa),TMP(C),DEW(C),RH(%),DIR(deg),SPD(m/s),VIS(km),CLOUDS(),NA_0(),NA_1(),Weather()
VVTS,08/0500,1010.0,31,24,66,310,2,10.0,SCT017,,,
VVTS,08/0430,1010.0,31,23,62,350,2,10.0,SCT017,,,
VVTS,08/0400,1011.0,30,23,66,340,3,10.0,SCT017,,,
VVTS,08/0330,1011.0,30,23,66,300,3,10.0,SCT017,,,
VVTS,08/0300,1012.0,29,23,70,20,4,10.0,FEW017,SCT050,,
VVTS,08/0230,1012.0,29,21,62,360,5,10.0,FEW017,SCT050,,
VVTS,08/0200,1012.0,28,21,66,20,4,10.0,SCT017,SCT050,,
VVTS,08/0130,1012.0,28,21,66,360,5,10.0,SCT017,SCT050,,
VVTS,08/0100,1012.0,27,21,70,360,5,10.0,SCT017,SCT050,,
VVTS,08/0030,1012.0,26,22,79,360,4,10.0,SCT017,SCT050,,
VVTS,08/0000,1011.0,26,22,79,360,3,10.0,SCT017,SCT050,,
VVTS,07/2330,1011.0,25,22,83,360,4,8.0,BKN017,,,
VVTS,07/2300,1011.0,25,23,89,360,4,8.0,SCT015,SCT040,,
VVTS,07/2230,1011.0,25,24,94,360,4,8.0,SCT015,SCT050,,
VVTS,07/2200,1010.0,26,24,89,360,3,6.0,SCT015,BKN050,,
VVTS,07/2130,1010.0,26,25,94,350,2,5.0,SCT015,BKN050,,FG
VVTS,07/2100,1010.0,26,25,94,350,3,6.0,SCT015,FEW017,BKN050,
VVTS,07/2030,1009.0,26,25,94,360,3,6.0,SCT015,FEW017,BKN050,
VVTS,07/2000,1009.0,26,25,94,340,3,6.0,SCT015,FEW017,BKN050,
VVTS,07/1930,1010.0,26,25,94,350,2,6.0,SCT015,FEW017,BKN050,
VVTS,07/1900,1010.0,26,25,94,350,3,6.0,SCT015,FEW017,BKN050,-SHRA
VVTS,07/1830,1010.0,26,25,94,340,3,10.0,SCT015,BKN050,,
VVTS,07/1800,1010.0,27,25,89,0,0,10.0,SCT015,BKN050,,
VVTS,07/1730,1011.0,27,25,89,,1,10.0,SCT015,BKN050,,
VVTS,07/1700,1011.0,27,25,89,,1,10.0,SCT017,BKN050,,
VVTS,07/1630,1011.0,28,25,84,110,2,10.0,SCT017,BKN050,,
VVTS,07/1600,1011.0,28,25,84,140,3,10.0,SCT017,BKN050,,
VVTS,07/1530,1012.0,28,25,84,150,2,10.0,SCT017,BKN050,,
VVTS,07/1500,1012.0,28,25,84,140,3,10.0,SCT017,BKN050,,
VVTS,07/1430,1012.0,28,24,79,150,2,10.0,SCT017,SCT050,,
VVTS,07/1400,1011.0,28,25,84,140,3,10.0,SCT017,SCT050,,
VVTS,07/1330,1011.0,28,25,84,140,4,10.0,SCT015,SCT050,,
VVTS,07/1300,1011.0,28,24,79,140,3,10.0,SCT015,SCT050,,
VVTS,07/1230,1011.0,28,25,84,130,4,10.0,SCT015,SCT050,,
VVTS,07/1200,1010.0,28,25,84,140,5,10.0,SCT015,FEW017,SCT050,
VVTS,07/1130,1010.0,29,24,74,140,5,10.0,SCT017,SCT050,,
VVTS,07/1100,1010.0,29,24,74,150,4,10.0,SCT017,SCT050,,
VVTS,07/1030,1009.0,30,24,70,170,4,10.0,SCT017,SCT050,,
VVTS,07/1000,1008.0,30,24,70,160,4,10.0,SCT017,,,
VVTS,07/0930,1008.0,31,25,70,180,4,10.0,SCT017,,,
VVTS,07/0900,1008.0,31,24,66,180,3,10.0,SCT015,FEW017,,
VVTS,07/0830,1008.0,32,24,63,140,4,10.0,SCT015,FEW017,,
VVTS,07/0800,1008.0,31,24,66,170,5,10.0,SCT015,FEW017,,-SHRA
VVTS,07/0730,1008.0,31,24,66,160,4,10.0,SCT015,FEW017,,
VVTS,07/0700,1008.0,32,23,59,130,3,10.0,SCT015,FEW017,,
VVTS,07/0630,1009.0,33,22,52,90,5,10.0,SCT015,FEW017,,
VVTS,07/0600,1009.0,32,24,63,80,3,10.0,SCT017,FEW020,,
VVTS,07/0530,1010.0,33,23,56,120,3,10.0,SCT017,FEW020,,
VVTS,07/0500,1010.0,32,23,59,,1,10.0,SCT017,FEW020,,
VVTS,07/0430,1011.0,30,24,70,90,3,10.0,BKN017,,,
