STN(),TIME(DD/HHMM),ALTM(hPa),TMP(C),DEW(C),RH(%),DIR(deg),SPD(m/s),GUS(m/s),VIS(km),CLOUDS(),NA_0(),NA_1(),Weather()
VVTS,21/0500,1011.0,32,24,63,150,3,,10.0,FEW020,,,
VVTS,21/0430,1012.0,31,24,66,150,3,,10.0,FEW020,,,
VVTS,21/0400,1012.0,32,25,67,120,2,,8.0,FEW017,,,
VVTS,21/0330,1012.0,32,25,67,100,2,,8.0,FEW017,,,
VVTS,21/0300,1013.0,30,24,70,,1,,8.0,FEW017,,,
VVTS,21/0230,1013.0,29,24,74,,2,,8.0,SCT015,,,
VVTS,21/0200,1013.0,28,24,79,,1,,8.0,BKN015,,,
VVTS,21/0130,1013.0,28,25,84,,1,,7.0,BKN015,,,
VVTS,21/0100,1013.0,27,25,89,,1,,7.0,SCT015,,,
VVTS,21/0030,1013.0,26,25,94,,1,,7.0,SCT015,,,
VVTS,21/0000,1012.0,25,25,100,,1,,4.0,SCT015,BKN040,,FG
VVTS,20/2330,1012.0,25,24,94,,1,,3.0,SCT017,BKN040,,FG
VVTS,20/2300,1012.0,25,24,94,10,2,,4.0,SCT017,BKN040,,FG
VVTS,20/2230,1011.0,25,24,94,,1,,5.0,FEW017,BKN040,,FG
VVTS,20/2200,1011.0,25,24,94,,2,,5.0,FEW017,BKN040,,FG
VVTS,20/2130,1012.0,25,24,94,10,2,,6.0,SCT017,BKN040,,-RA
VVTS,20/2100,1012.0,25,24,94,,1,,6.0,SCT017,BKN040,,-RA
VVTS,20/2030,1012.0,25,24,94,,2,,6.0,SCT017,BKN040,,-RA
VVTS,20/2000,1012.0,25,25,100,340,2,,6.0,SCT017,BKN040,,-RA
VVTS,20/1930,1012.0,25,25,100,320,2,,5.0,SCT015,BKN040,,-RA FG
VVTS,20/1900,1012.0,25,25,100,,1,,6.0,SCT015,BKN040,,
VVTS,20/1830,1012.0,25,25,100,330,2,,7.0,SCT017,BKN040,,
VVTS,20/1800,1012.0,25,25,100,310,2,,7.0,SCT017,BKN040,,
VVTS,20/1730,1013.0,25,25,100,330,1,,7.0,SCT017,BKN040,,
VVTS,20/1700,1013.0,25,25,100,,1,,7.0,SCT015,BKN040,,
VVTS,20/1630,1014.0,25,25,100,330,2,,7.0,SCT015,FEW017,BKN050,-RA
VVTS,20/1600,1014.0,26,25,94,,2,,8.0,SCT015,FEW017,BKN050,
VVTS,20/1530,1014.0,25,25,100,,1,,8.0,SCT015,FEW017,BKN050,
VVTS,20/1500,1014.0,25,25,100,0,0,,7.0,SCT015,FEW017,BKN050,
VVTS,20/1430,1014.0,25,25,100,,1,,7.0,SCT015,FEW017,BKN050,
VVTS,20/1400,1014.0,25,25,100,,1,,7.0,SCT017,BKN040,,
VVTS,20/1330,1013.0,25,25,100,330,1,,7.0,SCT015,BKN040,,
VVTS,20/1300,1013.0,25,25,100,,1,,8.0,SCT015,BKN040,,-RA
VVTS,20/1230,1013.0,25,25,100,,1,,7.0,SCT015,FEW017,BKN040,-RA
VVTS,20/1200,1012.0,25,25,100,,2,,7.0,SCT015,FEW017,BKN040,-RA
VVTS,20/1130,1012.0,25,25,100,,2,,7.0,SCT015,FEW017,BKN040,-TSRA
VVTS,20/1100,1012.0,25,25,100,,1,,7.0,SCT015,FEW017,BKN040,
VVTS,20/1030,1011.0,25,25,100,310,2,,7.0,SCT015,FEW017,BKN040,-SHRA
VVTS,20/1000,1011.0,26,25,94,,2,,8.0,SCT015,FEW017,BKN040,
VVTS,20/0930,1010.0,26,25,94,230,2,,8.0,SCT015,BKN040,,
VVTS,20/0900,1010.0,26,26,100,200,4,,8.0,SCT013,BKN040,,
VVTS,20/0830,1010.0,26,26,100,220,4,,8.0,SCT013,FEW015,BKN040,
VVTS,20/0800,1010.0,25,25,100,210,4,,8.0,SCT013,FEW015,SCT040,-TSRA
VVTS,20/0730,1010.0,24,24,100,200,5,11,8.0,BKN010,SCT013,,TSRA
VVTS,20/0700,1010.0,29,26,84,240,3,,5.0,SCT015,FEW017,SCT050,TSRA
VVTS,20/0630,1010.0,31,25,70,280,2,,8.0,SCT015,SCT050,,
VVTS,20/0600,1010.0,31,26,75,,1,,8.0,SCT015,FEW017,,TS
VVTS,20/0530,1011.0,31,26,75,340,3,,8.0,SCT015,FEW017,,
VVTS,20/0500,1012.0,29,26,84,,1,,10.0,SCT015,FEW017,,SHRA
VVTS,20/0430,1013.0,33,25,63,330,3,,10.0,BKN020,,,
