Model,MAE,RMSE,r2,R
LSTM-1h-4T,5.27,7.71,0.45,0.78
LightGBM-1h-4T,5.13,7.43,0.47,0.79
LSTM-TSLightGBM-1h-4T,5.26,7.6,0.46,0.78
,,,,
LSTM-1h-8T,4.9,7.22,0.42,0.77
LightGBM-1h-8T,4.83,7.06,0.43,0.78
LSTM-TSLightGBM-1h-8T,5.09,7.5,0.39,0.75
,,,,
LSTM-1h-10T,4.68,6.86,0.39,0.77
LightGBM-1h-10T,4.61,6.77,0.4,0.78
LSTM-TSLightGBM-1h-10T,4.92,7.3,0.36,0.74
,,,,
LSTM-1h-12T,4.6,6.73,0.37,0.76
LightGBM-1h-12T,4.62,6.74,0.36,0.76
LSTM-TSLightGBM-1h-12T,5.05,7.44,0.3,0.71
,,,,
LSTM-1h-16T,4.77,6.89,0.12,0.7
LightGBM-1h-16T,4.5,6.66,0.2,0.72
LSTM-TSLightGBM-1h-16T,4.64,7.04,0.22,0.69
,,,,
LSTM-1h-18T,4.66,6.85,0.12,0.7
LightGBM-1h-18T,4.41,6.55,0.21,0.73
LSTM-TSLightGBM-1h-18T,4.66,6.94,0.25,0.7
,,,,
LSTM-1h-24T,4.48,6.69,0.08,0.68
LightGBM-1h-24T,4.39,6.58,0.11,0.69
LSTM-TSLightGBM-1h-24T,4.69,7.07,0.11,0.65
,,,,
LSTM-1h-32T,4.36,6.57,-0.03,0.67
LightGBM-1h-32T,4.24,6.32,0.06,0.7
LSTM-TSLightGBM-1h-32T,4.43,6.57,0.13,0.68
,,,,
LSTM-2h-4T,6.1,8.56,0.2,0.71
LightGBM-2h-4T,5.84,8.22,0.25,0.73
LSTM-TSLightGBM-2h-4T,6.04,8.57,0.26,0.71
,,,,
LSTM-2h-8T,5.43,7.88,0.18,0.7
LightGBM-2h-8T,5.3,7.65,0.2,0.72
LSTM-TSLightGBM-2h-8T,5.64,8.16,0.19,0.69
,,,,
LSTM-2h-10T,5.32,7.58,0.05,0.7
LightGBM-2h-10T,5.2,7.46,0.16,0.71
LSTM-TSLightGBM-2h-10T,5.46,7.91,0.22,0.69
,,,,
